ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
North East ,E06000001,Hartlepool,761,803,815,816,863,911,947,987,"1,036","1,088","1,118","1,099","1,111","1,143","1,176","1,223","1,191","1,254","1,364","1,379","1,338","1,378","1,409","1,352","1,457","1,614"
North East ,E06000004,Stockton-on-Tees,"2,555","2,665","2,743","2,769","2,923","3,143","3,397","3,510","3,782","3,983","4,050","4,210","4,185","4,174","4,241","4,427","4,565","4,850","4,921","4,843","4,929","5,215","5,139","5,448","5,941","6,113"
North East ,E06000002,Middlesbrough,"1,475","1,536","1,579","1,591","1,656","1,762","1,911","2,053","2,187","2,249","2,316","2,363","2,304","2,358","2,397","2,396","2,457","2,553","2,662","2,815","3,006","3,009","2,783","3,131","3,526","3,805"
North East ,E06000003,Redcar and Cleveland,"1,258","1,273","1,306","1,276","1,309","1,446","1,469","1,507","1,527","1,541","1,654","1,627","1,687","1,696","1,711","1,739","1,810","1,861","1,790","1,656","1,740","1,800","1,798","1,858","2,051","2,171"
North East ,E06000005,Darlington,"1,518","1,553","1,671","1,777","1,899","2,022","2,157","2,142","2,179","2,138","2,267","2,145","2,209","2,264","2,285","2,322","2,575","2,725","2,575","2,561","2,529","2,504","2,301","2,515","2,733","3,025"
North East ,E06000047,County Durham,"4,642","4,878","5,016","5,143","5,418","5,794","6,264","6,542","6,994","7,269","7,553","7,661","7,674","7,543","7,729","7,854","7,831","7,902","7,932","8,215","8,651","9,070","9,139","9,743","10,569","12,123"
North East ,E06000057,Northumberland,"3,034","3,028","3,078","3,187","3,440","3,561","3,824","3,953","4,159","4,244","4,379","4,293","4,401","4,501","4,533","4,503","4,664","4,745","4,901","4,991","5,032","5,378","5,072","5,514","6,089","6,605"
North East ,E08000021,Newcastle upon Tyne,"4,322","4,290","4,429","4,788","5,169","5,465","6,047","6,460","6,831","6,877","6,890","6,867","7,118","7,402","7,675","7,737","7,940","8,475","8,746","9,112","9,095","9,455","8,717","9,879","10,933","12,223"
North East ,E08000022,North Tyneside,"2,050","2,083","2,128","2,326","2,589","2,703","2,929","3,068","3,163","3,240","3,373","3,265","3,343","3,444","3,533","3,522","3,697","3,863","4,010","4,388","4,545","4,620","4,383","4,833","5,239","6,005"
North East ,E08000023,South Tyneside,"1,105","1,104","1,134","1,173","1,226","1,283","1,389","1,463","1,525","1,541","1,586","1,500","1,555","1,596","1,754","1,763","1,881","1,875","1,797","1,812","1,803","1,905","1,707","1,946","2,061","2,206"
North East ,E08000037,Gateshead,"2,600","2,615","2,684","2,809","3,000","3,145","3,423","3,643","3,835","3,895","3,878","3,730","3,859","4,050","4,136","3,884","3,940","3,986","4,066","4,077","4,087","4,514","3,957","4,512","4,649","5,039"
North East ,E08000024,Sunderland,"3,497","3,424","3,556","3,755","4,044","4,227","4,657","4,903","5,163","5,184","5,359","5,458","5,391","5,449","5,602","6,077","6,314","6,480","6,555","6,869","6,790","7,210","6,290","6,509","7,115","7,961"
North West ,E06000063,Cumberland,"3,684","3,880","3,708","3,773","3,945","4,187","4,254","4,587","4,939","5,021","5,428","5,317","5,441","5,337","5,462","5,785","6,086","6,210","6,054","5,977","6,068","6,268","5,600","5,741","6,700","7,310"
North West ,E06000064,Westmorland and Furness,"2,865","2,877","2,993","2,958","3,205","3,473","3,657","3,708","4,029","4,188","4,450","4,319","4,415","4,442","4,705","4,731","4,928","5,215","5,246","5,517","5,693","6,155","5,806","6,239","7,036","7,746"
North West ,E08000003,Manchester,"8,872","9,308","9,541","10,315","10,955","11,565","12,472","13,499","14,477","15,250","15,563","16,067","16,549","16,589","17,379","17,834","18,407","19,354","20,597","22,675","23,478","25,282","24,894","27,333","32,274","35,873"
North West ,E08000006,Salford,"3,238","3,398","3,434","3,637","3,778","3,971","4,323","4,702","4,996","5,254","5,367","5,368","5,438","5,460","5,853","6,446","6,888","6,982","6,806","7,039","7,624","8,078","8,422","9,080","10,225","10,748"
North West ,E08000009,Trafford,"4,336","4,546","4,738","5,069","5,343","5,573","5,735","6,009","6,291","6,578","6,741","6,597","6,647","6,675","6,889","7,193","7,301","7,820","8,149","8,689","9,181","9,362","9,396","10,207","11,184","12,304"
North West ,E08000007,Stockport,"3,548","3,737","3,876","4,066","4,237","4,434","4,606","4,822","5,042","5,302","5,515","5,596","5,585","5,482","5,686","5,764","5,760","5,784","6,042","6,529","6,815","6,900","7,075","7,402","8,458","9,377"
North West ,E08000008,Tameside,"1,913","2,021","2,087","2,156","2,236","2,308","2,366","2,533","2,611","2,727","2,760","2,739","2,767","2,772","2,849","2,955","3,049","3,076","3,054","3,296","3,387","3,422","3,413","3,450","3,728","4,025"
North West ,E08000001,Bolton,"2,890","3,003","3,016","3,202","3,297","3,428","3,612","3,846","4,031","4,198","4,208","4,273","4,329","4,327","4,554","4,787","4,880","5,083","5,255","5,546","5,898","5,895","6,071","6,169","6,575","7,467"
North West ,E08000010,Wigan,"2,694","2,824","2,930","3,084","3,188","3,317","3,437","3,628","3,789","3,940","3,877","3,808","3,845","3,859","3,998","4,274","4,401","4,697","4,815","5,037","5,120","5,112","5,244","5,541","6,154","6,705"
North West ,E08000002,Bury,"1,734","1,818","1,879","1,987","2,116","2,201","2,293","2,419","2,542","2,673","2,680","2,648","2,703","2,714","2,819","2,898","2,875","3,038","3,094","3,177","3,275","3,498","3,465","3,509","3,698","4,278"
North West ,E08000004,Oldham,"2,019","2,108","2,162","2,244","2,335","2,382","2,518","2,675","2,799","2,909","2,977","2,930","2,965","2,986","3,035","3,159","3,322","3,476","3,554","3,855","3,910","4,112","3,872","4,003","4,513","4,880"
North West ,E08000005,Rochdale,"1,968","2,081","2,130","2,228","2,292","2,361","2,476","2,590","2,651","2,786","2,801","2,765","2,843","2,835","3,024","3,133","3,164","3,258","3,278","3,385","3,556","3,720","3,639","3,758","4,289","4,693"
North West ,E06000008,Blackburn with Darwen,"1,528","1,583","1,596","1,634","1,714","1,851","1,940","1,992","2,050","2,145","2,219","2,164","2,252","2,308","2,451","2,528","2,659","2,827","2,974","3,022","3,052","3,150","3,107","3,483","3,852","4,160"
North West ,E06000009,Blackpool,"1,275","1,309","1,339","1,406","1,485","1,614","1,740","1,816","1,867","1,906","1,917","1,848","1,932","1,943","2,008","2,053","2,115","2,230","2,370","2,513","2,614","2,847","2,667","2,807","3,147","3,310"
North West ,E07000121,Lancaster,"1,520","1,558","1,507","1,533","1,645","1,845","1,988","2,169","2,329","2,425","2,452","2,208","2,178","2,187","2,283","2,437","2,460","2,622","2,628","2,675","2,684","2,848","2,884","2,946","3,305","3,831"
North West ,E07000128,Wyre,836,864,889,914,962,"1,056","1,103","1,122","1,139","1,159","1,211","1,162","1,186","1,215","1,257","1,309","1,357","1,585","1,626","1,627","1,688","1,771","1,607","1,759","1,944","2,063"
North West ,E07000119,Fylde,"1,712","1,850","1,967","2,088","2,104","2,293","2,516","2,640","2,650","2,749","2,805","2,559","2,478","2,472","2,487","2,523","2,312","2,467","2,676","2,798","2,587","2,678","2,482","2,695","3,033","3,320"
North West ,E07000123,Preston,"2,214","2,315","2,373","2,479","2,653","2,857","3,028","3,117","3,224","3,381","3,334","3,357","3,482","3,497","3,705","3,640","3,801","4,000","4,290","4,312","4,356","4,524","4,181","4,633","5,091","5,597"
North West ,E07000124,Ribble Valley,"1,017","1,082","1,119","1,172","1,209","1,312","1,414","1,458","1,475","1,507","1,538","1,381","1,372","1,464","1,529","1,680","1,745","1,807","1,731","1,775","1,756","1,621","1,787","2,106","2,119","2,221"
North West ,E07000126,South Ribble,"1,894","1,925","1,999","2,026","2,136","2,312","2,414","2,455","2,443","2,651","2,727","2,561","2,598","2,672","2,779","2,933","3,188","3,366","3,526","3,633","3,567","3,667","3,780","4,182","4,457","4,754"
North West ,E07000117,Burnley,992,"1,041","1,063","1,092","1,122","1,205","1,262","1,311","1,361","1,428","1,455","1,404","1,470","1,511","1,594","1,597","1,700","1,704","1,804","1,888","2,029","2,007","1,953","2,132","2,342","2,356"
North West ,E07000120,Hyndburn,796,838,819,843,878,914,961,995,"1,019","1,083","1,124","1,077","1,118","1,157","1,225","1,253","1,289","1,329","1,451","1,462","1,333","1,425","1,336","1,494","1,594","1,758"
North West ,E07000122,Pendle,"1,054","1,132","1,156","1,190","1,210","1,301","1,374","1,440","1,466","1,491","1,478","1,306","1,321","1,390","1,432","1,409","1,461","1,494","1,597","1,668","1,775","1,775","1,614","1,773","1,794","1,990"
North West ,E07000125,Rossendale,612,628,639,648,682,732,759,773,789,823,836,818,844,867,856,889,951,"1,011","1,005","1,009",993,"1,043",952,"1,079","1,164","1,289"
North West ,E07000118,Chorley,969,"1,006","1,054","1,111","1,189","1,272","1,329","1,354","1,383","1,457","1,512","1,470","1,538","1,546","1,587","1,602","1,658","1,737","1,844","1,876","1,960","2,191","2,051","2,374","2,516","2,790"
North West ,E07000127,West Lancashire,"1,267","1,302","1,314","1,352","1,432","1,526","1,618","1,630","1,666","1,755","1,815","1,821","1,888","1,919","1,934","1,962","2,103","2,148","2,378","2,511","2,577","2,718","2,646","2,919","3,228","3,635"
North West ,E06000007,Warrington,"3,632","3,689","3,872","4,257","4,441","4,590","4,741","5,053","5,292","5,585","5,545","5,285","5,405","5,510","5,683","5,984","6,330","6,687","6,966","7,540","7,612","8,142","8,108","8,520","9,364","10,470"
North West ,E06000049,Cheshire East,"5,940","6,218","6,458","7,542","7,771","7,484","8,357","8,884","9,575","9,769","9,700","9,452","9,837","10,303","10,864","11,154","11,826","12,344","13,371","13,343","13,775","14,237","13,770","13,810","15,524","16,927"
North West ,E06000050,Cheshire West and Chester,"4,890","5,270","5,213","5,724","5,829","6,240","6,426","6,704","7,230","7,760","7,861","8,187","8,642","8,514","8,675","9,023","9,497","9,235","9,598","10,436","10,645","11,307","10,514","11,715","12,894","14,193"
North West ,E06000006,Halton,"2,218","2,320","2,427","2,482","2,574","2,792","2,818","2,964","3,226","3,115","3,353","3,416","3,477","3,514","3,336","3,492","3,719","3,855","3,846","3,954","4,105","4,285","3,957","4,259","4,670","5,173"
North West ,E08000011,Knowsley,"1,668","1,682","1,689","1,811","1,868","1,994","2,067","2,061","2,185","2,274","2,381","2,338","2,480","2,550","2,658","2,895","3,044","3,170","3,402","3,622","3,507","3,707","3,537","3,938","4,163","4,562"
North West ,E08000013,St. Helens,"1,599","1,735","1,809","1,908","2,019","2,117","2,206","2,273","2,428","2,508","2,526","2,495","2,555","2,516","2,444","2,482","2,593","2,645","2,687","2,684","2,718","2,797","2,623","2,908","2,995","3,156"
North West ,E08000012,Liverpool,"5,968","6,289","6,657","7,095","7,517","8,274","8,816","9,315","10,180","10,147","10,701","11,209","11,226","11,291","11,087","11,225","11,779","12,110","12,318","12,809","12,955","14,077","13,715","15,236","16,846","18,431"
North West ,E08000014,Sefton,"2,141","2,288","2,357","2,514","2,685","2,855","3,002","3,090","3,285","3,328","3,457","3,506","3,525","3,431","3,429","3,482","3,625","3,748","3,900","4,040","4,103","4,182","4,186","4,699","4,991","5,368"
North West ,E08000015,Wirral,"2,581","2,764","2,846","3,016","3,190","3,423","3,649","3,716","3,941","3,995","4,137","4,166","4,162","4,185","4,243","4,327","4,515","4,750","4,697","4,884","4,925","5,241","5,234","5,441","5,979","6,625"
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of","3,023","3,104","3,304","3,472","3,716","3,996","4,096","4,292","4,711","4,941","5,472","5,482","5,213","5,025","5,097","5,090","5,132","5,386","5,536","5,761","5,943","6,044","5,423","6,367","6,713","7,403"
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,"3,742","3,714","3,869","4,063","4,385","4,663","5,007","5,134","5,430","5,510","5,597","5,352","5,193","5,216","5,370","5,525","5,808","6,054","6,134","6,399","6,830","7,139","6,947","8,048","8,621","9,375"
Yorkshire and The Humber,E06000012,North East Lincolnshire,"1,742","1,788","1,858","1,947","2,018","2,120","2,194","2,290","2,406","2,577","2,628","2,611","2,547","2,644","2,669","2,755","2,939","3,063","3,039","3,121","3,098","3,250","3,320","3,750","3,851","4,253"
Yorkshire and The Humber,E06000013,North Lincolnshire,"2,276","2,221","2,315","2,416","2,480","2,798","3,010","3,156","3,087","3,522","3,802","3,442","3,671","3,372","3,382","3,467","3,519","3,909","4,013","4,347","4,254","5,040","4,400","5,640","5,820","5,577"
Yorkshire and The Humber,E06000014,York,"3,200","3,338","3,496","3,769","4,169","4,463","4,705","4,867","4,950","5,191","5,204","5,051","5,149","5,249","5,374","5,404","5,523","5,640","5,817","6,210","6,350","6,405","5,904","6,756","7,705","8,511"
Yorkshire and The Humber,E06000065,North Yorkshire,"7,392","7,540","7,900","8,294","9,058","9,543","9,932","10,213","10,760","11,391","11,686","11,394","11,326","11,765","12,074","12,599","12,860","13,097","13,512","14,431","14,484","15,200","14,623","16,486","18,057","19,945"
Yorkshire and The Humber,E08000019,Sheffield,"6,524","6,577","6,877","7,506","8,018","8,576","9,092","9,529","10,087","10,736","10,603","10,671","10,886","11,151","11,357","11,682","11,916","12,205","12,318","12,488","12,560","13,154","13,227","14,218","15,727","17,295"
Yorkshire and The Humber,E08000016,Barnsley,"1,961","1,956","2,023","2,131","2,222","2,368","2,530","2,629","2,748","2,959","2,899","2,791","2,885","2,971","3,086","3,207","3,350","3,428","3,488","3,655","3,817","3,975","3,888","4,192","4,687","5,052"
Yorkshire and The Humber,E08000018,Rotherham,"2,435","2,441","2,537","2,676","2,829","2,999","3,110","3,253","3,377","3,635","3,638","3,483","3,627","3,721","3,981","3,979","4,093","4,264","4,356","4,574","4,611","4,764","4,606","4,880","5,331","5,606"
Yorkshire and The Humber,E08000017,Doncaster,"2,622","2,653","2,741","2,889","3,048","3,247","3,483","3,599","3,837","4,108","4,117","3,908","4,021","4,037","4,142","4,241","4,490","4,835","4,957","5,477","5,538","5,722","5,671","5,989","6,713","7,191"
Yorkshire and The Humber,E08000032,Bradford,"5,228","5,497","5,555","5,773","5,962","6,282","6,618","6,984","7,228","7,605","7,872","7,802","7,792","8,063","8,203","8,389","8,490","8,800","9,017","9,470","9,596","9,720","9,664","10,416","11,129","11,745"
Yorkshire and The Humber,E08000035,Leeds,"12,317","13,113","13,505","14,072","14,774","16,033","17,289","18,577","19,757","20,858","20,758","20,706","21,054","21,419","21,873","22,477","23,122","23,967","24,230","24,951","26,458","27,391","25,938","28,823","33,073","36,554"
Yorkshire and The Humber,E08000033,Calderdale,"2,164","2,264","2,288","2,393","2,439","2,615","2,777","3,058","3,236","3,387","3,249","3,165","3,244","3,336","3,424","3,568","4,109","4,552","4,550","4,938","5,270","5,277","5,012","5,640","5,378","5,845"
Yorkshire and The Humber,E08000034,Kirklees,"3,973","4,152","4,224","4,340","4,432","4,663","4,821","5,075","5,243","5,522","5,618","5,512","5,558","5,669","5,823","5,938","6,171","6,525","6,660","7,118","7,440","7,503","7,264","7,900","8,522","9,223"
Yorkshire and The Humber,E08000036,Wakefield,"4,031","4,232","4,365","4,546","4,699","4,940","5,123","5,361","5,538","5,718","5,855","5,774","5,661","5,762","5,916","6,110","6,120","6,567","6,819","7,082","7,545","7,921","7,681","8,270","9,355","10,250"
East Midlands ,E06000015,Derby,"3,773","4,016","4,181","4,392","4,636","4,795","5,190","5,682","5,854","5,998","6,127","6,003","6,079","6,399","6,529","6,799","6,643","6,636","6,702","6,695","7,167","7,459","7,788","8,200","8,462","9,226"
East Midlands ,E07000033,Bolsover,"1,027","1,034","1,046","1,089","1,092","1,095","1,135","1,209","1,238","1,288","1,365","1,337","1,373","1,371","1,429","1,457","1,463","1,655","1,741","1,847","1,975","2,014","2,047","2,178","2,365","2,481"
East Midlands ,E07000034,Chesterfield,"1,143","1,172","1,206","1,283","1,350","1,388","1,477","1,590","1,631","1,707","1,746","1,700","1,790","1,786","1,908","1,957","2,026","2,151","2,193","2,276","2,347","2,402","2,555","2,770","2,973","3,074"
East Midlands ,E07000038,North East Derbyshire,736,774,785,804,831,869,897,963,974,"1,001","1,045",991,"1,021","1,070","1,081","1,137","1,236","1,344","1,334","1,332","1,396","1,467","1,493","1,608","1,745","1,820"
East Midlands ,E07000032,Amber Valley,"1,513","1,533","1,511","1,542","1,604","1,644","1,721","1,846","1,900","1,974","2,038","1,920","2,014","2,038","2,141","2,232","2,345","2,411","2,448","2,496","2,577","2,750","2,775","2,892","3,119","3,456"
East Midlands ,E07000035,Derbyshire Dales,858,890,900,941,966,"1,000","1,058","1,123","1,140","1,177","1,220","1,163","1,234","1,259","1,341","1,358","1,346","1,356","1,420","1,451","1,554","1,554","1,523","1,625","1,823","1,953"
East Midlands ,E07000036,Erewash,844,869,876,924,959,985,"1,033","1,109","1,159","1,195","1,227","1,165","1,226","1,287","1,333","1,420","1,431","1,470","1,539","1,610","1,651","1,775","1,735","1,816","1,941","2,084"
East Midlands ,E07000037,High Peak,907,923,931,960,995,"1,034","1,077","1,134","1,141","1,157","1,191","1,109","1,127","1,172","1,218","1,221","1,277","1,352","1,405","1,456","1,486","1,487","1,466","1,556","1,760","1,796"
East Midlands ,E07000039,South Derbyshire,"1,310","1,321","1,314","1,315","1,384","1,479","1,545","1,690","1,639","1,660","1,756","1,614","1,885","1,938","2,015","2,336","2,425","2,367","2,561","2,628","2,754","3,206","3,104","3,147","2,855","3,112"
East Midlands ,E06000018,Nottingham,"4,559","4,741","4,822","5,111","5,411","5,757","6,297","6,657","7,128","7,393","7,609","7,574","7,883","8,220","8,458","8,591","9,175","9,342","9,665","10,130","10,317","10,456","10,146","10,516","11,714","12,900"
East Midlands ,E07000170,Ashfield,"1,743","1,735","1,749","1,777","1,853","1,854","1,962","2,074","2,156","2,239","2,296","2,228","2,312","2,320","2,364","2,462","2,537","2,570","2,570","2,626","2,706","2,791","2,700","2,859","2,986","3,263"
East Midlands ,E07000171,Bassetlaw,"1,184","1,252","1,279","1,311","1,371","1,426","1,503","1,557","1,612","1,665","1,702","1,677","1,743","1,790","1,864","1,921","1,936","2,008","2,048","2,083","2,166","2,278","2,362","2,430","2,678","2,884"
East Midlands ,E07000174,Mansfield,792,825,831,862,898,945,"1,013","1,078","1,123","1,170","1,194","1,145","1,175","1,215","1,273","1,292","1,368","1,428","1,459","1,498","1,585","1,673","1,669","1,756","1,937","2,148"
East Midlands ,E07000175,Newark and Sherwood,"1,251","1,324","1,365","1,389","1,440","1,523","1,567","1,635","1,718","1,778","1,834","1,799","1,849","1,971","2,010","2,068","2,067","2,188","2,255","2,372","2,420","2,522","2,457","2,596","2,912","3,014"
East Midlands ,E07000172,Broxtowe,"1,256","1,299","1,280","1,282","1,351","1,397","1,450","1,576","1,639","1,692","1,708","1,729","1,785","1,844","1,929","1,996","1,965","2,032","2,099","2,121","2,125","1,970","2,017","2,196","2,479","2,781"
East Midlands ,E07000173,Gedling,862,882,887,931,963,982,"1,016","1,072","1,118","1,166","1,204","1,165","1,193","1,215","1,284","1,289","1,310","1,375","1,408","1,445","1,460","1,504","1,541","1,669","1,785","1,970"
East Midlands ,E07000176,Rushcliffe,"1,246","1,307","1,338","1,431","1,450","1,482","1,579","1,668","1,733","1,854","1,955","1,903","1,956","1,936","2,005","2,132","2,178","2,227","2,245","2,364","2,741","3,066","3,014","2,960","3,395","3,684"
East Midlands ,E06000016,Leicester,"3,813","3,928","4,132","4,249","4,365","4,667","5,018","5,266","5,648","5,968","6,223","6,181","6,468","6,522","6,784","7,022","7,624","7,886","8,106","8,231","8,579","8,790","8,427","9,174","9,506","10,320"
East Midlands ,E06000017,Rutland,462,475,512,528,542,567,590,613,648,664,701,668,701,686,707,706,733,777,813,792,817,802,803,916,"1,006","1,083"
East Midlands ,E07000129,Blaby,"1,468","1,457","1,565","1,590","1,669","1,805","2,056","2,175","2,353","2,544","2,738","2,876","2,846","2,704","2,951","3,248","3,399","3,519","3,421","3,569","3,639","3,665","3,221","3,550","4,300","5,047"
East Midlands ,E07000130,Charnwood,"1,883","1,945","2,075","2,263","2,356","2,488","2,610","2,724","2,847","2,889","3,079","2,945","3,013","2,985","3,033","2,909","3,020","3,190","3,410","3,547","3,659","3,643","3,614","3,962","4,218","4,961"
East Midlands ,E07000131,Harborough,"1,025","1,068","1,113","1,121","1,173","1,268","1,299","1,365","1,468","1,562","1,606","1,516","1,599","1,590","1,625","1,645","1,802","1,893","1,901","2,014","2,067","2,182","2,096","2,269","2,467","2,661"
East Midlands ,E07000132,Hinckley and Bosworth,"1,163","1,173","1,258","1,299","1,331","1,406","1,452","1,496","1,646","1,739","1,860","1,702","1,809","1,837","1,915","2,004","2,121","2,134","2,154","2,288","2,328","2,398","2,271","2,552","2,776","2,944"
East Midlands ,E07000133,Melton,627,634,655,665,700,720,736,731,793,844,887,897,930,916,952,972,965,"1,084","1,131","1,140","1,217","1,272","1,199","1,342","1,416","1,493"
East Midlands ,E07000134,North West Leicestershire,"1,648","1,671","1,753","1,787","1,871","2,039","2,088","2,195","2,349","2,494","2,564","2,426","2,576","2,552","2,654","2,879","2,973","3,019","3,206","3,270","3,570","3,692","3,360","3,935","4,399","4,907"
East Midlands ,E07000135,Oadby and Wigston,465,477,496,511,521,555,578,593,628,653,688,667,687,681,724,728,723,726,756,745,770,787,743,839,886,"1,009"
